x,y,Time
736,360,0.03333333333333333
732,366,0.1
734,367,0.13333333333333333
718,372,0.16666666666666666
716,368,0.2
712,362,0.23333333333333334
712,363,0.26666666666666666
709,347,0.3
708,345,0.3333333333333333
708,346,0.36666666666666664
707,347,0.4
707,347,0.43333333333333335
730,254,0.5
737,244,0.5333333333333333
744,230,0.5666666666666667
744,230,0.6
747,220,0.6333333333333333
747,220,0.6666666666666666
748,219,0.7
747,220,0.7333333333333333
742,208,0.7666666666666667
741,208,0.8
742,210,0.8333333333333334
744,214,0.8666666666666667
743,213,0.9
748,219,0.9333333333333333
750,223,0.9666666666666667
753,233,1.0
754,247,1.0333333333333334
753,250,1.0666666666666667
751,266,1.1
717,327,1.2666666666666666
705,343,1.3
700,343,1.3333333333333333
699,343,1.3666666666666667
699,342,1.4
699,341,1.4333333333333333
699,341,1.4666666666666666
698,340,1.5
697,340,1.5333333333333334
698,340,1.5666666666666667
698,339,1.6
697,339,1.6333333333333333
697,337,1.6666666666666667
696,335,1.7
696,335,1.7333333333333334
696,333,1.7666666666666666
696,327,1.8
695,325,1.8333333333333333
696,323,1.8666666666666667
695,322,1.9
695,319,1.9333333333333333
694,312,1.9666666666666666
694,309,2.0
693,306,2.033333333333333
694,306,2.066666666666667
693,302,2.1
694,295,2.1333333333333333
693,292,2.1666666666666665
693,290,2.2
694,289,2.2333333333333334
694,286,2.2666666666666666
694,280,2.3
694,275,2.3333333333333335
694,270,2.3666666666666667
693,261,2.4
694,261,2.433333333333333
693,261,2.466666666666667
692,253,2.5
693,246,2.533333333333333
692,237,2.566666666666667
692,238,2.6
691,236,2.6333333333333333
691,233,2.6666666666666665
692,229,2.7
692,225,2.7333333333333334
692,225,2.7666666666666666
691,225,2.8
692,225,2.8333333333333335
694,211,2.8666666666666667
693,210,2.9
699,197,2.933333333333333
698,197,2.966666666666667
701,186,3.0
700,182,3.033333333333333
700,181,3.066666666666667
700,180,3.1
699,179,3.1333333333333333
696,180,3.1666666666666665
691,183,3.2
691,185,3.2333333333333334
691,185,3.2666666666666666
691,185,3.3
682,204,3.3333333333333335
681,209,3.3666666666666667
667,272,3.433333333333333
661,279,3.466666666666667
660,283,3.5
659,286,3.533333333333333
660,287,3.566666666666667
658,288,3.6
658,287,3.6333333333333333
659,288,3.6666666666666665
660,287,3.7
659,288,3.7333333333333334
659,288,3.7666666666666666
659,289,3.8
660,289,3.8333333333333335
660,290,3.8666666666666667
661,289,3.9
661,290,3.933333333333333
660,290,3.966666666666667
660,290,4.0
660,290,4.033333333333333
660,290,4.066666666666666
661,290,4.1
661,291,4.133333333333334
661,291,4.166666666666667
664,274,4.2
661,270,4.233333333333333
662,269,4.266666666666667
662,269,4.3
663,266,4.333333333333333
663,265,4.366666666666666
662,264,4.4
662,262,4.433333333333334
662,260,4.466666666666667
661,259,4.5
661,259,4.533333333333333
661,258,4.566666666666666
660,257,4.6
660,255,4.633333333333334
660,253,4.666666666666667
659,250,4.7
658,250,4.733333333333333
692,309,5.233333333333333
690,311,5.266666666666667
692,325,5.3
698,332,5.333333333333333
707,333,5.366666666666666
707,335,5.4
707,334,5.433333333333334
949,312,5.666666666666667
945,330,5.7
945,331,5.733333333333333
930,349,5.766666666666667
929,348,5.8
929,349,5.833333333333333
929,348,5.866666666666666
826,442,5.933333333333334
834,450,5.966666666666667
839,450,6.0
840,450,6.033333333333333
847,445,6.066666666666666
853,442,6.1
862,430,6.133333333333334
859,426,6.166666666666667
860,424,6.2
859,424,6.233333333333333
859,423,6.266666666666667
890,438,6.733333333333333
885,460,6.766666666666667
873,469,6.8
877,474,6.833333333333333
886,476,6.866666666666666
881,474,6.9
895,464,6.933333333333334
893,461,6.966666666666667
891,460,7.0
896,429,7.033333333333333
896,426,7.066666666666666
892,426,7.1
887,420,7.133333333333334
885,415,7.166666666666667
884,414,7.2
884,413,7.233333333333333
885,413,7.266666666666667
894,425,7.3
900,435,7.333333333333333
915,443,7.366666666666666
913,442,7.4
914,438,7.433333333333334
912,438,7.466666666666667
537,388,7.5
520,381,7.533333333333333
597,383,8.5
597,381,8.533333333333333
723,339,8.833333333333334
731,348,8.866666666666667
738,353,8.9
716,365,8.933333333333334
720,362,8.966666666666667
730,361,9.0
728,357,9.033333333333333
828,320,9.266666666666667
828,316,9.3
886,336,9.4
874,342,9.433333333333334
727,431,9.733333333333333
725,429,9.766666666666667
731,432,9.8
737,424,9.833333333333334
736,421,9.866666666666667
880,232,10.366666666666667
735,303,10.766666666666667
735,307,10.8
734,305,10.833333333333334
734,305,10.866666666666667
696,308,10.9
685,299,10.933333333333334
685,286,10.966666666666667
684,283,11.0
682,284,11.033333333333333
699,198,11.1
709,179,11.133333333333333
486,396,11.133333333333333
707,176,11.166666666666666
487,394,11.166666666666666
499,393,11.2
712,156,11.233333333333333
714,157,11.266666666666667
510,388,11.266666666666667
714,158,11.3
512,388,11.3
714,155,11.333333333333334
716,159,11.366666666666667
721,172,11.4
727,187,11.433333333333334
736,201,11.466666666666667
734,211,11.5
739,227,11.533333333333333
746,243,11.566666666666666
692,330,11.766666666666667
685,329,11.8
684,328,11.833333333333334
681,325,11.866666666666667
682,323,11.9
684,323,11.933333333333334
685,322,11.966666666666667
685,323,12.0
685,318,12.033333333333333
685,316,12.066666666666666
685,313,12.1
684,309,12.133333333333333
685,303,12.166666666666666
685,303,12.2
686,300,12.233333333333333
686,296,12.266666666666667
687,293,12.3
689,286,12.333333333333334
688,284,12.366666666666667
689,284,12.4
691,276,12.433333333333334
692,269,12.466666666666667
692,263,12.5
690,263,12.533333333333333
692,264,12.566666666666666
691,265,12.6
695,257,12.633333333333333
694,256,12.666666666666666
694,256,12.7
697,244,12.733333333333333
695,242,12.766666666666667
696,242,12.8
699,231,12.833333333333334
697,230,12.866666666666667
697,229,12.9
698,226,12.933333333333334
697,224,12.966666666666667
698,222,13.0
697,223,13.033333333333333
698,223,13.066666666666666
699,216,13.1
699,211,13.133333333333333
698,211,13.166666666666666
699,208,13.2
700,203,13.233333333333333
699,203,13.266666666666667
698,203,13.3
701,191,13.333333333333334
701,190,13.366666666666667
702,188,13.4
702,184,13.433333333333334
703,179,13.466666666666667
702,175,13.5
701,176,13.533333333333333
702,172,13.566666666666666
702,168,13.6
698,167,13.633333333333333
696,167,13.666666666666666
696,167,13.7
695,165,13.733333333333333
688,170,13.766666666666667
681,177,13.8
679,187,13.833333333333334
680,189,13.866666666666667
676,203,13.9
671,220,13.933333333333334
660,237,13.966666666666667
662,241,14.0
654,283,14.066666666666666
649,297,14.1
649,300,14.133333333333333
649,299,14.166666666666666
647,311,14.2
647,309,14.233333333333333
651,305,14.266666666666667
652,302,14.3
652,303,14.333333333333334
651,300,14.366666666666667
652,299,14.4
655,290,14.433333333333334
654,286,14.466666666666667
655,286,14.5
655,283,14.533333333333333
656,280,14.566666666666666
657,278,14.6
658,274,14.633333333333333
657,274,14.666666666666666
658,274,14.7
657,267,14.733333333333333
657,268,14.766666666666667
657,268,14.8
657,259,14.833333333333334
656,258,14.866666666666667
654,255,14.9
654,253,14.933333333333334
655,252,14.966666666666667
654,251,15.0
653,251,15.033333333333333
654,250,15.066666666666666
654,249,15.1
656,250,15.133333333333333
655,250,15.166666666666666
656,250,15.2
658,242,15.233333333333333
669,232,15.266666666666667
727,209,15.466666666666667
729,212,15.5
730,213,15.533333333333333
746,218,15.566666666666666
747,219,15.6
747,220,15.633333333333333
746,219,15.666666666666666
726,263,15.733333333333333
734,267,15.766666666666667
799,310,15.966666666666667
806,328,16.066666666666666
813,360,16.1
821,388,16.133333333333333
823,399,16.166666666666668
820,396,16.2
820,396,16.233333333333334
775,463,16.533333333333335
769,466,16.566666666666666
764,464,16.6
761,460,16.633333333333333
761,461,16.666666666666668
762,447,16.7
759,437,16.733333333333334
759,439,16.766666666666666
758,438,16.8
758,440,16.833333333333332
782,389,16.9
782,371,16.933333333333334
781,361,16.966666666666665
780,359,17.0
790,355,17.066666666666666
793,358,17.1
781,367,17.133333333333333
781,365,17.166666666666668
778,379,17.2
775,381,17.233333333333334
728,405,17.4
715,400,17.433333333333334
703,394,17.466666666666665
691,385,17.5
691,386,17.533333333333335
682,378,17.566666666666666
675,367,17.6
669,355,17.633333333333333
668,350,17.666666666666668
674,333,17.7
682,318,17.733333333333334
686,305,17.766666666666666
692,296,17.833333333333332
680,310,17.933333333333334
673,319,17.966666666666665
671,318,18.0
663,331,18.033333333333335
662,330,18.066666666666666
658,325,18.1
657,324,18.133333333333333
657,323,18.166666666666668
661,310,18.2
660,301,18.233333333333334
660,295,18.266666666666666
659,295,18.3
660,290,18.333333333333332
661,286,18.366666666666667
661,285,18.4
660,286,18.433333333333334
663,276,18.466666666666665
663,271,18.5
662,271,18.533333333333335
663,272,18.566666666666666
672,254,18.6
669,246,18.633333333333333
670,247,18.666666666666668
671,237,18.7
672,231,18.733333333333334
673,227,18.766666666666666
673,228,18.8
674,228,18.833333333333332
676,218,18.866666666666667
675,214,18.9
675,215,18.933333333333334
676,208,18.966666666666665
675,208,19.0
674,205,19.033333333333335
674,206,19.066666666666666
674,206,19.1
675,206,19.133333333333333
675,206,19.166666666666668
680,190,19.2
681,182,19.233333333333334
680,181,19.266666666666666
681,178,19.3
681,174,19.333333333333332
680,176,19.366666666666667
681,175,19.4
683,168,19.433333333333334
685,163,19.466666666666665
683,165,19.5
684,161,19.533333333333335
685,156,19.566666666666666
684,157,19.6
686,155,19.633333333333333
687,152,19.666666666666668
689,151,19.7
688,151,19.733333333333334
689,148,19.766666666666666
689,147,19.8
688,148,19.833333333333332
689,146,19.866666666666667
685,149,19.9
669,166,19.933333333333334
671,168,19.966666666666665
658,187,20.0
650,204,20.033333333333335
651,206,20.066666666666666
646,266,20.133333333333333
645,279,20.166666666666668
646,284,20.2
647,298,20.233333333333334
646,332,20.3
646,335,20.333333333333332
643,332,20.366666666666667
643,332,20.4
643,332,20.433333333333334
643,332,20.466666666666665
642,329,20.5
643,330,20.533333333333335
642,322,20.566666666666666
642,322,20.6
642,316,20.633333333333333
644,316,20.666666666666668
643,313,20.7
644,310,20.733333333333334
644,310,20.766666666666666
644,307,20.8
645,302,20.833333333333332
644,297,20.866666666666667
644,296,20.9
644,289,20.933333333333334
643,288,20.966666666666665
643,287,21.0
641,280,21.033333333333335
642,274,21.066666666666666
642,272,21.1
642,272,21.133333333333333
641,269,21.166666666666668
640,266,21.2
640,265,21.233333333333334
640,262,21.266666666666666
638,258,21.3
639,257,21.333333333333332
637,249,21.366666666666667
